"","MSETrain","MSETest"
"1",0.946100007756092,0.979536605207887
"2",0.865722931679406,0.901519670878371
"3",0.797213667996954,0.884279329482823
"4",0.751590990417701,0.87703830248689
"5",0.729727018611095,0.863333976432069
"6",0.718334156683636,0.847951079068119
"7",0.710624997796565,0.834356334111462
"8",0.70488394726915,0.823492703372485
"9",0.700490242307367,0.815141390447747
"10",0.697047429824994,0.808768389976188
"11",0.694278097324853,0.803872095395441
"12",0.691995062982993,0.800068058379709
"13",0.690066726629484,0.79708020981044
"14",0.688405832228678,0.794713634334198
"15",0.686947488612647,0.792830428032026
"16",0.685643881236603,0.791330677189239
"17",0.68446036108134,0.790143417985472
"18",0.683369330120431,0.789214931122244
"19",0.682348037884984,0.78850654706563
"20",0.681378911978932,0.787987905005886
"21",0.680447740244951,0.787636064503291
"22",0.679540145268079,0.787435714512655
"23",0.678645440387382,0.787372275574567
"24",0.677752608426641,0.787437125428082
"25",0.67685316616017,0.787623679801209
"26",0.675937253215253,0.787927392410905
"27",0.674997488083822,0.788345807219205
"28",0.674025387540191,0.788877565566808
"29",0.673014671793914,0.78952392160076
"30",0.671959061054547,0.790285136601696
"31",0.670853762850434,0.79116523429139
"32",0.669695527114593,0.792167924854853
"33",0.668483197043519,0.793296761708717
"34",0.667217378581904,0.794557127234054
"35",0.665903470146097,0.795952731615877
"36",0.664548412557113,0.797486919246308
"37",0.663162837390004,0.799159742381475
"38",0.661761066973855,0.800967804373127
"39",0.660358139754202,0.802903475826734
"40",0.658970691667137,0.804952020514501
"41",0.657614532360531,0.807094992023625
"42",0.656304755365805,0.809307725462195
"43",0.655053314319156,0.811564145022876
"44",0.653868967875677,0.813834464713319
"45",0.652757444967001,0.816090309456603
"46",0.651720563427206,0.818306544055677
"47",0.650759424973911,0.820459914534059
"48",0.649869292221345,0.822531556429928
"49",0.649048402421311,0.824507674125776
"50",0.648290090182198,0.826378809262628
"51",0.647588957087658,0.828139318178778
"52",0.64693988015075,0.829788626056828
"53",0.646336965182198,0.831326994177413
"54",0.645774538336248,0.832759386872592
"55",0.645247696969483,0.834090559449914
"56",0.644752309640822,0.835327305205881
"57",0.644285126283281,0.836476626461499
"58",0.64384118916756,0.837545473281651
"59",0.643419121146632,0.838542781464041
"60",0.643014184834725,0.839474403694884
"61",0.642626600575361,0.840348387417728
"62",0.642252677614508,0.841170271782026
"63",0.641890983719258,0.841946588803644
"64",0.641540692601393,0.842683243424925
"65",0.641199270310385,0.843384050343135
"66",0.640866551588589,0.844054653219981
"67",0.640541875405432,0.844698500959841
"68",0.640223148497433,0.845319774052868
"69",0.639910150521068,0.845921242073791
"70",0.639602440789288,0.846506040390224
"71",0.639299854044449,0.847076625040133
"72",0.638999801250141,0.847635452061483
"73",0.63870415532632,0.848184454930972
"74",0.638411428954197,0.848725514869167
"75",0.638120465330268,0.84926066986502
"76",0.637831870399227,0.849790024430784
"77",0.637545258559905,0.850316557165695
"78",0.637259748438205,0.850840686118766
"79",0.636975395120008,0.851363717693172
"80",0.636692143519432,0.85188638347469
"81",0.636409277520025,0.852408631207192
"82",0.636126907293547,0.852933230465406
"83",0.635844702324712,0.853459397407427
"84",0.635562387184116,0.853988960997699
"85",0.635279521184708,0.854521868980094
"86",0.634996434841776,0.855058225866866
"87",0.634712522210627,0.855599181292808
"88",0.634427342604214,0.856144839770173
"89",0.634142273169562,0.856696298677627
"90",0.633855771502002,0.857253767039678
"91",0.633567892687415,0.857817140344071
"92",0.633278746897563,0.858386993408203
"93",0.632988774819495,0.858964057817851
"94",0.632696819649707,0.859548124548507
"95",0.632403322075248,0.86013971616144
"96",0.632108227010238,0.860739721010809
"97",0.631811589540557,0.861346728181186
"98",0.631513189322682,0.861962723405394
"99",0.631212750927206,0.862586609304768
"100",0.630910109096486,0.863219849050861
